Número;Código Ayto;Centro;Dirección;Coordenada-X;Coordenada-Y;Latitud;Longitud;Superficie (m2);Uso del edificio;Adscripción;Distrito;Potencia KWp;Empresa instaladora;Puesta en servicio
44;1937;CDM LUIS ARAGONÉS;C/PROVENCIO 20;446795;4479520;40.464.650.948.053.800;-36.275.877.145.025.800;5.588;deportivo; JMD Hortaleza ; Hortaleza ;12,5;DRAGADOS;15/11/2018
45;2204;CC SANCHINARRO Y BIBLIOTECA MARÍA LEJÁRRAGA;C/ PRINCESA ÉBOLI, 29;444469;4482391;4.049.035.310.157.370;-3.655.261.744.717.250;;cultural; JMD Hortaleza ; Hortaleza ;20;DRAGADOS;22/02/2019
46;1380;JMD HORTALEZA;CARRETERA DE CANILLAS 2;444286;4479355;4.046.299.114.016.900;-36.571.542.769.919.400;;administrativo; JMD Hortaleza ; Hortaleza ;13,5;DRAGADOS;07/03/2019
47;895;CC FEDERICO CHUECA ;C/ BENITA ÁVILA, 17;444847;4479572;4.046.498.334.634.000;-3.650.568.266.584.690;;cultural; JMD Hortaleza ; Hortaleza ;20;DRAGADOS;19/11/2018
48;547;JMD LATINA;AV/ LAS AGUILAS, 2 (ANT AV/DEL GENERAL FANJUL);435041;4470644;4.038.385.718.043.740;-37.653.019.593.724.200;5.193;administrativo; JMD Latina ; Latina ;27;AURA;22/11/2018
49;2148;CDM LAS CRUCES;AV/ POBLADOS, S/N BJ - ;435779;4470115;40.379.148.937.377.300;-3.756.554.762.411.960;;deportivo; JMD Latina ; Latina ;17;FERROVIAL;08/02/2019
50;2299;CENTRO DE DÍA GERTRUDIS DE LA FUENTE;C/ ALHAMBRA / C/ CUÑA LATINA DOS, 2;437062;4472332;4.039.922.282.184.550;-3.741.656.241.718.050;1.768;social; JMD Latina ; Latina ;50;AURA;25/05/2019
51;2260;CENTRO DE ACOGIDA MUNICIPAL PUERTA ABIERTA;C/ PINAR DE SAN JOSE , 104 - MADRID (28054);434109;4468407;4.036.362.321.657.020;-3.776.049.860.378.440;4.132;social; JMD Latina ; Latina ;12;;08/08/2016
52;1140;CDM GALLUR;C/ GALLUR, 2;437595;4472245;40.398.465.832.065;-37.353.834.506.869.200;6.305;deportivo; JMD Latina ; Latina ;20;AURA;19/02/2020
53;2447;EI BOLA DE CRISTAL (VALDEZARZA);C/ ISLAS BISAGOS, 13;439360;4479933;40.467.857;-3.715.308;;educativo; JMD Moncloa Aravaca ; Moncloa Aravaca ;6;CYOPSA;06/12/2018
54;1931;IDM LA BOMBILLA;Paseo Senda del Rey, 8;437798;4476478;40.436.623;-3.733.391;;deportivo; JMD Moncloa Aravaca ; Moncloa Aravaca ;12;ORTIZ;23/01/2019
55;1272;CC EDUARDO CHILLIDA Y BIBLIOTECA MIGUEL DELIBES;C/ ARROYO BELINCOSO, 9;444577;4473403;4.040.939.173.676.510;-3.653.214.777.359.330;;cultural; JMD Moratalaz ; Moratalaz ;10;PECSA;24/10/2018
56;2138;CMM/CSS LADERA EL ALMENDRO;C/ LADERA DE LOS ALMENDROS, 4-6;447057;4472576;4.040.210.302.381.570;-36.239.189.412.211.400;;social; JMD Moratalaz ; Moratalaz ;12,5;PECSA;24/10/2018
57;2461;EI SABINA (MORATALAZ);C/ CAÑÓN DEL RIO LOBOS;446468;4472964;40.405.577;-3.630.877;;educativo; JMD Moratalaz ; Moratalaz ;6;CYOPSA;
58;1938;CDM MORATALAZ;C/ VALDEBERNARDO 2;446331;4472220;4.039.885.854.572.330;-3.632.432.290.214.530;8.104;deportivo; JMD Moratalaz ; Moratalaz ;40;FERROVIAL;08/03/2019
59;1745;CSS  Y APARTAMENTOS TUTELADOS RETIRO;C/ JOSE MARTÍNEZ DE VELASCO, 22;443346;4473992;4.041.461.489.944.010;-3.667.774.590.446.810;;social; JMD Retiro ; Retiro ;12,5;OHL;25/03/2019
60;97;ESCUELAS AGUIRRE;C/ PIO BAROJA 4;442787;4473989;4.041.454.970.248.990;-3.674.350.860.475.640;;educativo; JMD Retiro ; Retiro ;7;OHL;03/03/2019
